incident_id,topic,topic_prob
244,0,0.25736235327580936
659,0,0.13059888435492073
1361,4,1.0
1735,-1,0.20622063697113308
2012,-1,0.07597129211802155
2254,5,1.0
2313,5,1.0
2265,-1,0.022000375418442793
2387,5,0.1933076012232928
2392,5,1.0
2386,4,0.2953804444372301
2458,5,0.23872781470712098
2407,-1,0.019558699324765786
2454,5,1.0
2649,2,0.32075204932244916
2690,-1,0.19703310650872569
2747,3,0.11646737125728
2980,-1,0.09252805788530383
2874,4,0.4875052915397945
3248,-1,0.10259802402410302
2991,-1,0.14547126889905182
3022,-1,0.1347565761953608
3079,5,1.0
3108,-1,0.13166306227618405
3265,4,0.6305573612911807
3140,4,1.0
3205,-1,0.07107140549053007
3295,5,0.6055607290375823
3355,5,0.1801424570966575
3448,5,0.6810005440978991
3395,5,0.1993710727774496
3406,-1,0.1585155018788001
3435,2,1.0
3468,-1,0.0958414567666153
3558,2,0.1328715096490831
3501,2,1.0
3571,4,0.47255150499467025
3580,-1,0.1698139118557499
3756,-1,0.048511506326752954
3784,4,0.45611400447068784
3762,5,0.19323552620129192
3779,-1,0.02153293071808945
3964,-1,0.019147775153375228
3948,4,1.0
3955,-1,0.104302488569464
3986,4,0.3416242842889814
4063,4,0.45641324875508427
4074,-1,0.10278503754450666
4064,-1,0.09932776394004705
4275,4,1.0
4277,-1,0.10101609881740367
4294,4,0.6186276330102041
2002,5,1.0
3114,4,0.6273587358039986
4051,4,0.4896412991436176
1349,-1,0.15709936889804663
4236,5,0.12522097503044577
505,3,1.0
1334,0,0.2820546917070719
1371,-1,0.03480907495142776
1893,2,0.13430275180096332
1825,2,0.4844676912793811
2472,-1,0.019816705099229972
1883,-1,0.1341089747377409
1927,3,0.22831444433327022
1971,5,0.1492003315840827
2043,3,0.3495529672522295
2128,-1,0.10129065826653058
2145,2,0.19877456333017987
2220,-1,0.06864293969040526
2319,4,0.10902419272862064
2282,-1,0.18578074726385996
2301,5,1.0
3576,4,0.41473989649626125
2561,4,0.20301153199244595
2395,-1,0.013385867089934283
2572,3,0.2988425662723599
2577,-1,0.0242267839450326
2634,5,1.0
2630,-1,0.08863338133385698
3386,3,0.3217574744024858
2692,5,0.18654602757192051
2697,3,0.22868778053072467
2710,-1,0.2194410919099985
2751,5,0.3562567998525432
2798,5,0.20514136447889253
2810,5,0.13013889554031832
2850,4,0.20358544388338565
2865,-1,0.051971961280431425
3101,-1,0.05287583406969938
2948,-1,0.07084915362729026
4055,-1,0.15662558216115935
2987,-1,0.01330757527778997
